feature,importance
Pregnancies,0.01172095427215039
Glucose,0.7602881314678077
BloodPressure,0.023240165232879816
SkinThickness,0.026015540680747077
Insulin,0.021153331055145986
BMI,0.07369408821689924
DiabetesPedigreeFunction,0.024935676526347275
Age,0.0558033311897611
Gender,0.0031487813582613913
